Project,Prototype,DefaultOwners,Notes
Trocasense,Level,"[""Natalia"", ""Sara""]",3D model
Trocasense,Tactibladder,"[""David"", ""Stef""]",
Trocasense,Impedance,"[""Jos\u00e9"", ""Santiago"", ""Andrea""]",
Trocasense,Angles analysis,"[""Jos\u00e9"", ""Stef"", ""Santiago"", ""Mariana"", ""Sara""]",Whoever wants to join
Urosim,Bladder,"[""David"", ""Stef""]",
Urosim,Trocal model,"[""David""]",
Urosim,Model base,"[""Stef"", ""Jos\u00e9""]",
Urosim,Skin,"[""Santiago"", ""Mariana""]",
Urosim,Assembly,"[""Stef"", ""Jos\u00e9""]","Materials: Natalia, Andrea, Mariana, Sara"
